th	phi	th1	phi1	sign_l
0.0	0.0	0.0	6.076781089310511	1.0
0.05324733311169141	0.0	0.0	4.3733053417403465	1.0
0.10649466622338281	0.0	0.0	3.4299340838553727	1.0
0.15974199933507421	0.0	0.0	2.9160703552058598	1.0
0.21298933244676563	0.0	0.0	2.609623519819782	1.0
0.26623666555845704	0.0	0.0	2.4096959630853307	1.0
0.31948399867014843	0.0	0.0	2.269331260633625	1.0
0.37273133178183987	0.0	0.0	2.1653646913084756	1.0
0.42597866489353126	0.0	0.0	2.085340876859194	1.0
0.47922599800522264	0.0	0.0	2.021531274038829	1.0
0.5324733311169141	0.0	0.0	1.9689380719702412	1.0
0.5857206642286055	0.0	0.0	1.9249372601021875	1.0
0.6389679973402969	0.0	0.0	1.8875355006732917	1.0
0.6922153304519882	0.0	0.0	1.8548267357424904	1.0
0.7454626635636797	0.0	0.0	1.826058577842795	1.0
0.7987099966753711	0.0	0.0	1.8004694588238606	1.0
0.8519573297870625	0.0	0.0	1.7772676177377802	1.0
0.9052046628987539	0.0	0.0	1.7560272491326954	1.0
0.9584519960104453	0.0	0.0	1.7365956727021448	1.0
1.0116993291221368	0.0	0.0	1.7184991801722556	1.0
1.0649466622338282	0.0	0.0	1.7016737219980562	1.0
1.1181939953455196	0.0	0.0	1.6856240591326046	1.0
1.171441328457211	0.0	0.0	1.6704893839097956	1.0
1.2246886615689023	0.0	0.0	1.6559912226558902	1.0
1.2779359946805937	0.0	0.0	1.6420206876947134	1.0
1.331183327792285	0.0	0.0	1.6285570813072876	1.0
1.3844306609039765	0.0	0.0	1.6153506811838492	1.0
1.437677994015668	0.0	0.0	1.6024558473754962	1.0
1.4909253271273595	0.0	0.0	1.5897266938463317	1.0
1.5441726602390509	0.0	0.0	1.5770956236806875	1.0
1.5974199933507423	0.0	0.0	1.5644970299090954	1.0
1.6506673264624336	0.0	0.0	1.551865959743542	1.0
1.703914659574125	0.0	0.0	1.5391368062145871	1.0
1.7571619926858164	0.0	0.0	1.5262419724080487	1.0
1.8104093257975078	0.0	0.0	1.5130355722874094	1.0
1.8636566589091992	0.0	0.0	1.4995719659066553	1.0
1.9169039920208906	0.0	0.0	1.485601430955603	1.0
1.970151325132582	0.0	0.0	1.471103269717204	1.0
2.0233986582442736	0.0	0.0	1.455968594516386	1.0
2.076645991355965	0.0	0.0	1.4399189316834504	1.0
2.1298933244676563	0.0	0.0	1.4230934735489198	1.0
2.1831406575793477	0.0	0.0	1.4049969810681224	1.0
2.236387990691039	0.0	0.0	1.3855654046965677	1.0
2.2896353238027305	0.0	0.0	1.3643250361585788	1.0
2.342882656914422	0.0	0.0	1.341123195152539	1.0
2.3961299900261133	0.0	0.0	1.3155340762161734	1.0
2.4493773231378047	0.0	0.0	1.286765918405024	1.0
2.502624656249496	0.0	0.0	1.2540571535630316	1.0
2.5558719893611874	0.0	0.0	1.216655394217435	1.0
