th	phi	phi1	th1	sign_l
1.5707963267948966	-3.141592653589793	-1.8904282854247405e-17	1.5707963267948966	-1.0
1.5707963267948966	-3.1240907446561454	-0.002701990820854488	1.5707963267948966	-1.0
1.5707963267948966	-3.1065888357224973	-0.005405607540468415	1.5707963267948966	-1.0
1.5707963267948966	-3.0890869267888497	-0.008112583602875485	1.5707963267948966	-1.0
1.5707963267948966	-3.0715850178552015	-0.010824522321991603	1.5707963267948966	-1.0
1.5707963267948966	-3.054083108921554	-0.013543246370761344	1.5707963267948966	-1.0
1.5707963267948966	-3.0365811999879058	-0.016270318262889404	1.5707963267948966	-1.0
1.5707963267948966	-3.019079291054258	-0.019007424775655587	1.5707963267948966	-1.0
1.5707963267948966	-3.00157738212061	-0.021756277111746467	1.5707963267948966	-1.0
1.5707963267948966	-2.9840754731869623	-0.02451892737815242	1.5707963267948966	-1.0
1.5707963267948966	-2.9665735642533146	-0.027297251733065638	1.5707963267948966	-1.0
1.5707963267948966	-2.9490716553196665	-0.030092410228182362	1.5707963267948966	-1.0
1.5707963267948966	-2.931569746386019	-0.03290698226983874	1.5707963267948966	-1.0
1.5707963267948966	-2.9140678374523707	-0.035742975647175525	1.5707963267948966	-1.0
1.5707963267948966	-2.896565928518723	-0.03860149388685256	1.5707963267948966	-1.0
1.5707963267948966	-2.879064019585075	-0.04148599628782812	1.5707963267948966	-1.0
1.5707963267948966	-2.8615621106514273	-0.044397132931853295	1.5707963267948966	-1.0
1.5707963267948966	-2.844060201717779	-0.04733812435823223	1.5707963267948966	-1.0
1.5707963267948966	-2.8265582927841315	-0.05031069888502473	1.5707963267948966	-1.0
1.5707963267948966	-2.8090563838504834	-0.053317831912850694	1.5707963267948966	-1.0
1.5707963267948966	-2.7915544749168357	-0.05636204690937735	1.5707963267948966	-1.0
1.5707963267948966	-2.7740525659831876	-0.05944455197716262	1.5707963267948966	-1.0
1.5707963267948966	-2.75655065704954	-0.06256937864856105	1.5707963267948966	-1.0
1.5707963267948966	-2.7390487481158923	-0.06573939279527194	1.5707963267948966	-1.0
1.5707963267948966	-2.721546839182244	-0.06895678758344244	1.5707963267948966	-1.0
1.5707963267948966	-2.7040449302485965	-0.0722254516322916	1.5707963267948966	-1.0
1.5707963267948966	-2.6865430213149484	-0.07554782204666291	1.5707963267948966	-1.0
1.5707963267948966	-2.6690411123813007	-0.078928183969637	1.5707963267948966	-1.0
1.5707963267948966	-2.6515392034476526	-0.08236927571580019	1.5707963267948966	-1.0
1.5707963267948966	-2.634037294514005	-0.08587584032232122	1.5707963267948966	-1.0
1.5707963267948966	-2.616535385580357	-0.08945197664472246	1.5707963267948966	-1.0
1.5707963267948966	-2.599033476646709	-0.09310100840110616	1.5707963267948966	-1.0
1.5707963267948966	-2.5815315677130615	-0.09682850751419118	1.5707963267948966	-1.0
1.5707963267948966	-2.5640296587794134	-0.10063829978740085	1.5707963267948966	-1.0
1.5707963267948966	-2.5465277498457652	-0.10453773730880851	1.5707963267948966	-1.0
1.5707963267948966	-2.5290258409121176	-0.1085302084834123	1.5707963267948966	-1.0
1.5707963267948966	-2.51152393197847	-0.11262275113546215	1.5707963267948966	-1.0
1.5707963267948966	-2.494022023044822	-0.116821746508063	1.5707963267948966	-1.0
1.5707963267948966	-2.476520114111174	-0.12113282026009428	1.5707963267948966	-1.0
1.5707963267948966	-2.459018205177526	-0.12556574090077666	1.5707963267948966	-1.0
1.5707963267948966	-2.4415162962438783	-0.13012723662936224	1.5707963267948966	-1.0
1.5707963267948966	-2.4240143873102307	-0.1348258511094937	1.5707963267948966	-1.0
1.5707963267948966	-2.4065124783765826	-0.13966949367827866	1.5707963267948966	-1.0
1.5707963267948966	-2.3890105694429344	-0.14467078857557253	1.5707963267948966	-1.0
1.5707963267948966	-2.3715086605092868	-0.14984066370247354	1.5707963267948966	-1.0
1.5707963267948966	-2.354006751575639	-0.15518959063942006	1.5707963267948966	-1.0
1.5707963267948966	-2.336504842641991	-0.16073042664026208	1.5707963267948966	-1.0
1.5707963267948966	-2.3190029337083433	-0.16647721181162786	1.5707963267948966	-1.0
1.5707963267948966	-2.301501024774695	-0.17244825932151442	1.5707963267948966	-1.0
1.5707963267948966	-2.2839991158410475	-0.17865758178482194	1.5707963267948966	-1.0
1.5707963267948966	-2.2664972069073994	-0.18512524369802072	1.5707963267948966	-1.0
1.5707963267948966	-2.2489952979737518	-0.19187176516717463	1.5707963267948966	-1.0
1.5707963267948966	-2.2314933890401036	-0.19891982737196914	1.5707963267948966	-1.0
1.5707963267948966	-2.213991480106456	-0.2062961528494419	1.5707963267948966	-1.0
1.5707963267948966	-2.1964895711728083	-0.2140271535314018	1.5707963267948966	-1.0
1.5707963267948966	-2.17898766223916	-0.22214562322626835	1.5707963267948966	-1.0
1.5707963267948966	-2.161485753305512	-0.23068650123396348	1.5707963267948966	-1.0
1.5707963267948966	-2.1439838443718644	-0.23968900924965292	1.5707963267948966	-1.0
1.5707963267948966	-2.1264819354382167	-0.2491990175574733	1.5707963267948966	-1.0
1.5707963267948966	-2.108980026504569	-0.2592648709274073	1.5707963267948966	-1.0
1.5707963267948966	-2.091478117570921	-0.2699484895556411	1.5707963267948966	-1.0
1.5707963267948966	-2.073976208637273	-0.28131133930565405	1.5707963267948966	-1.0
1.5707963267948966	-2.056474299703625	-0.2934294645523167	1.5707963267948966	-1.0
1.5707963267948966	-2.0389723907699775	-0.30639026180286427	1.5707963267948966	-1.0
1.5707963267948966	-2.0214704818363294	-0.3202947281351719	1.5707963267948966	-1.0
1.5707963267948966	-2.0039685729026813	-0.33525847802327713	1.5707963267948966	-1.0
1.5707963267948966	-1.9864666639690336	-0.3514188361667347	1.5707963267948966	-1.0
1.5707963267948966	-1.9689647550353857	-0.36893943377411703	1.5707963267948966	-1.0
1.5707963267948966	-1.9514628461017378	-0.388012425583795	1.5707963267948966	-1.0
1.5707963267948966	-1.93396093716809	-0.408867855193636	1.5707963267948966	-1.0
1.5707963267948966	-1.9164590282344423	-0.43178552408038345	1.5707963267948966	-1.0
1.5707963267948966	-1.8989571193007944	-0.4571065722995185	1.5707963267948966	-1.0
1.5707963267948966	-1.8814552103671465	-0.48525544661851405	1.5707963267948966	-1.0
1.5707963267948966	-1.8639533014334986	-0.5167576241209176	1.5707963267948966	-1.0
1.5707963267948966	-1.8464513924998507	-0.552284571007343	1.5707963267948966	-1.0
1.5707963267948966	-1.8289494835662028	-0.5926994922914864	1.5707963267948966	-1.0
1.5707963267948966	-1.811447574632555	-0.6391372655930725	1.5707963267948966	-1.0
1.5707963267948966	-1.793945665698907	-0.6931227618232543	1.5707963267948966	-1.0
1.5707963267948966	-1.7764437567652591	-0.7567552935525458	1.5707963267948966	-1.0
1.5707963267948966	-1.7589418478316112	-0.8330120164857084	1.5707963267948966	-1.0
1.5707963267948966	-1.7414399388979636	-0.9262972073490078	1.5707963267948966	-1.0
1.5707963267948966	-1.7239380299643157	-1.0434442709227538	1.5707963267948966	-1.0
1.5707963267948966	-1.7064361210306678	-1.195781487082795	1.5707963267948966	-1.0
1.5707963267948966	-1.6889342120970199	-1.403966495216474	1.5707963267948966	-1.0
1.5707963267948966	-1.671432303163372	-1.711804319738424	1.5707963267948966	-1.0
1.5707963267948966	-1.653930394229724	-2.243505978770378	1.5707963267948966	-1.0
1.5707963267948966	-1.6364284852960762	-4.143832768951975	1.5707963267948966	-1.0
1.5707963267948966	-1.6189265763624283	-3.175660206819881	1.5707963267948966	1.0
1.5707963267948966	-1.6014246674287804	-2.761995864575693	1.5707963267948966	1.0
