th	phi	th1	phi1	sign_l
0.0	0.0	0.0	2.8457912843326967	1.0
0.05324733311169141	0.0	0.0	1.7224514538464955	1.0
0.10649466622338281	0.0	0.0	1.647116372970658	1.0
0.15974199933507421	0.0	0.0	1.6215742306310619	1.0
0.21298933244676563	0.0	0.0	1.6086609957369713	1.0
0.26623666555845704	0.0	0.0	1.6007910938902876	1.0
0.31948399867014843	0.0	0.0	1.5955640474419572	1.0
0.37273133178183987	0.0	0.0	1.5917298858501927	1.0
0.42597866489353126	0.0	0.0	1.5888387441736835	1.0
0.47922599800522264	0.0	0.0	1.5865561578090963	1.0
0.5324733311169141	0.0	0.0	1.5846934645095776	1.0
0.5857206642286055	0.0	0.0	1.583163578314734	1.0
0.6389679973402969	0.0	0.0	1.5818554341504012	1.0
0.6922153304519882	0.0	0.0	1.5806814424922735	1.0
0.7454626635636797	0.0	0.0	1.5796614202479176	1.0
0.7987099966753711	0.0	0.0	1.5787712610498057	1.0
0.8519573297870625	0.0	0.0	1.5779903864753866	1.0
0.9052046628987539	0.0	0.0	1.5772261176125988	1.0
0.9584519960104453	0.0	0.0	1.5765481794237324	1.0
1.0116993291221368	0.0	0.0	1.5759425554724404	1.0
1.0649466622338282	0.0	0.0	1.57533707337986	1.0
1.1181939953455196	0.0	0.0	1.574789300162846	1.0
1.171441328457211	0.0	0.0	1.5742635925691064	1.0
1.2246886615689023	0.0	0.0	1.5737571641429262	1.0
1.2779359946805937	0.0	0.0	1.573267610485501	1.0
1.331183327792285	0.0	0.0	1.5728073223898797	1.0
1.3844306609039765	0.0	0.0	1.572342579191637	1.0
1.437677994015668	0.0	0.0	1.5718972914303384	1.0
1.4909253271273595	0.0	0.0	1.5714555145016524	1.0
1.5441726602390509	0.0	0.0	1.5710158251238477	1.0
1.5974199933507423	0.0	0.0	1.5705768284659463	1.0
1.6506673264624336	0.0	0.0	1.5701371390881402	1.0
1.703914659574125	0.0	0.0	1.5696953621594545	1.0
1.7571619926858164	0.0	0.0	1.569250074398153	1.0
1.8104093257975078	0.0	0.0	1.5687853311999125	1.0
1.8636566589091992	0.0	0.0	1.5683250431042959	1.0
1.9169039920208906	0.0	0.0	1.5678354894468667	1.0
1.970151325132582	0.0	0.0	1.5673290610206927	1.0
2.0233986582442736	0.0	0.0	1.5668033534269425	1.0
2.076645991355965	0.0	0.0	1.5662555802099214	1.0
2.1298933244676563	0.0	0.0	1.5656500981173496	1.0
