28.8	128.8	1.5708	0	1	0	
29	129	1.5708	0	1	0	
29.2	129.2	1.5708	0	1	0	
29.4	129.4	1.5708	0	1	0	
29.6	129.6	1.5708	0	1	0	
29.8	129.8	1.5708	0	1	0	
30	130	1.5708	0	1	0	
30.2	130.2	1.5708	0	1	0	
30.4	130.4	1.5708	0	1	0	
30.6	130.6	1.5708	0	1	0	
30.8	130.8	1.5708	0	1	0	
31	131	1.5708	0	1	0	
31.2	131.2	1.5708	0	1	0	
31.4	131.4	1.5708	0	1	0	
31.6	131.6	1.5708	0	1	0	
31.8	131.8	1.5708	0	1	0	
32	132	1.5708	0	1	0	
32.2001	132.2	1.5708	0	1	0	
32.4001	132.4	1.5708	0	1	0	
32.6001	132.6	1.5708	0	1	0	
32.8001	132.799	1.5708	0	1	0	
33.0001	132.999	1.5708	0	1	0	
33.2001	133.199	1.5708	0	1	0	
33.4001	133.399	1.5708	0	1	0	
33.6001	133.599	1.5708	0	1	0	
33.8001	133.799	1.5708	0	1	0	
34.0001	133.999	1.5708	0	1	0	
34.2001	134.199	1.5708	0	1	0	
34.4001	134.399	1.5708	0	1	0	
34.6001	134.599	1.5708	0	1	0	
34.8001	134.799	1.5708	0	1	0	
35.0001	134.999	1.5708	0	1	0	
35.2001	135.199	1.5708	0	1	0	
35.4001	135.399	1.5708	0	1	0	
35.6001	135.599	1.5708	0	1	0	
35.8001	135.799	1.5708	0	1	0	
36.0001	135.999	1.5708	0	1	0	
36.2001	136.199	1.5708	0	1	0	
36.4001	136.399	1.5708	0	1	0	
36.6001	136.599	1.5708	0	1	0	
36.8001	136.799	1.5708	0	1	0	
37.0001	136.999	1.5708	0	1	0	
37.2001	137.199	1.5708	0	1	0	
37.4001	137.399	1.5708	0	1	0	
37.6001	137.599	1.5708	0	1	0	
37.8001	137.799	1.5708	0	1	0	
38.0001	137.999	1.5708	0	1	0	
38.2001	138.199	1.5708	0	1	0	
38.4001	138.399	1.5708	0	1	0	
38.6001	138.599	1.5708	0	1	0	
38.8001	138.799	1.5708	0	1	0	
39.0001	138.999	1.5708	0	1	0	
39.2001	139.199	1.5708	0	1	0	
